ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,D,Flight,4,2,177,3,low,F,44,1233,Yes
2,F,Flight,4,5,216,2,low,M,59,3088,Yes
3,A,Flight,2,2,183,4,low,M,48,3374,Yes
4,B,Flight,3,3,176,4,medium,M,10,1177,Yes
5,C,Flight,2,2,184,3,medium,F,46,2484,Yes
6,F,Flight,3,1,162,3,medium,F,12,1417,Yes
7,D,Flight,3,4,250,3,low,F,3,2371,Yes
8,F,Flight,4,1,233,2,low,F,48,2804,Yes
9,A,Flight,3,4,150,3,low,F,11,1861,Yes
10,B,Flight,3,2,164,3,medium,F,29,1187,Yes
11,C,Flight,3,4,189,2,medium,M,12,2888,Yes
12,F,Flight,4,5,232,3,medium,F,32,3253,Yes
13,D,Flight,3,5,198,3,medium,F,1,3667,Yes
14,F,Flight,4,4,275,3,high,M,29,2602,Yes
15,A,Flight,4,3,152,3,low,M,43,1009,Yes
16,B,Flight,4,3,227,3,low,F,45,2707,Yes
17,C,Flight,3,4,143,2,medium,F,6,1194,Yes
18,F,Ship,5,5,227,3,medium,M,36,3952,Yes
19,D,Ship,5,5,239,3,high,M,18,2495,Yes
20,F,Ship,4,5,145,3,medium,M,45,1059,Yes
21,A,Ship,3,3,161,2,medium,F,38,1521,Yes
22,B,Ship,3,1,232,4,medium,F,51,2899,Yes
23,C,Ship,2,5,156,2,low,M,2,1750,Yes
24,F,Ship,4,3,211,3,high,M,12,3922,Yes
25,D,Ship,4,5,251,2,medium,F,28,3561,Yes
26,F,Ship,3,1,225,4,low,M,29,3496,Yes
27,A,Ship,4,1,172,3,high,F,24,1066,Yes
28,B,Ship,5,1,162,3,medium,M,31,1435,Yes
29,C,Ship,2,3,234,4,low,M,44,3134,Yes
30,F,Ship,5,4,183,2,low,F,36,3819,Yes
31,D,Ship,3,4,266,2,medium,F,38,2741,Yes
32,F,Ship,5,3,257,2,low,F,61,3341,Yes
33,A,Ship,3,1,223,3,low,F,22,3795,Yes
34,B,Ship,4,2,234,3,medium,M,4,3261,Yes
35,C,Ship,4,2,227,4,medium,F,22,2460,Yes
36,F,Ship,5,4,149,3,medium,F,44,1811,Yes
37,D,Ship,3,5,137,4,high,F,62,1477,Yes
38,F,Ship,2,4,181,6,medium,F,16,3605,Yes
39,A,Ship,5,1,215,4,low,F,56,3905,Yes
40,B,Ship,4,2,269,5,low,F,45,2383,Yes
41,C,Ship,5,1,227,2,low,M,15,3798,Yes
42,F,Ship,5,5,139,4,medium,M,61,1265,Yes
43,D,Ship,3,5,137,2,medium,M,38,1647,Yes
44,F,Ship,3,1,174,2,low,M,44,1556,Yes
45,A,Ship,3,1,151,2,low,M,29,1328,Yes
46,B,Ship,5,1,210,3,low,F,9,2944,Yes
47,C,Ship,3,4,169,4,medium,F,32,1245,Yes
48,F,Ship,5,1,160,2,low,M,32,1576,Yes
49,D,Ship,5,4,190,2,medium,M,9,3753,Yes
50,F,Ship,5,3,216,3,low,F,40,2146,Yes
51,A,Ship,4,1,183,3,low,M,37,2042,Yes
52,B,Ship,4,4,141,3,low,M,22,1735,Yes
53,C,Ship,4,3,165,3,low,F,44,1320,Yes
54,F,Ship,2,1,170,3,low,M,41,1128,Yes
55,D,Ship,4,3,203,3,high,M,12,3539,Yes
56,F,Ship,2,5,246,5,low,M,46,2437,Yes
57,A,Ship,3,3,238,3,low,F,61,3096,Yes
58,B,Ship,3,3,193,3,medium,F,29,3453,Yes
59,C,Ship,5,5,141,3,high,M,41,1367,Yes
60,F,Ship,4,1,150,3,high,F,17,1923,Yes
61,D,Ship,3,1,221,3,low,F,64,2794,Yes
62,F,Ship,3,3,179,3,medium,M,52,1158,Yes
63,A,Ship,5,1,105,6,medium,M,62,1292,Yes
64,B,Ship,3,1,177,3,medium,M,61,1880,Yes
65,C,Ship,4,5,261,2,high,M,49,3045,Yes
66,F,Ship,3,2,202,3,low,M,49,2881,Yes
67,D,Ship,3,2,109,3,medium,F,15,1710,Yes
68,F,Ship,3,3,158,3,low,F,6,1878,Yes
69,A,Ship,4,2,231,4,medium,F,6,2512,Yes
70,B,Ship,3,5,206,3,medium,M,39,2929,Yes
71,C,Ship,5,1,187,4,high,M,14,3849,Yes
72,F,Ship,5,5,230,2,low,F,2,2229,Yes
73,D,Ship,5,5,232,3,medium,F,33,2998,Yes
74,F,Ship,4,5,215,3,medium,F,21,3984,Yes
75,A,Ship,6,1,238,6,low,F,13,2442,Yes
76,B,Ship,4,1,266,3,low,F,23,3775,Yes
77,C,Ship,2,3,158,2,medium,F,36,1788,Yes
78,F,Ship,3,3,113,3,low,F,43,1518,Yes
79,D,Ship,3,4,223,3,low,M,18,3959,Yes
80,F,Ship,3,5,257,2,medium,F,56,3711,Yes
81,A,Ship,3,4,180,2,medium,F,49,1942,Yes
82,B,Ship,2,5,132,3,low,M,18,1759,Yes
83,C,Ship,4,4,217,3,high,F,26,2875,Yes
84,F,Ship,5,5,162,3,high,F,31,1364,Yes
85,D,Ship,4,5,197,2,medium,F,40,2710,Yes
86,F,Ship,3,4,197,3,medium,M,13,2148,Yes
87,A,Ship,4,1,185,2,low,M,44,2910,Yes
88,B,Ship,6,2,278,3,medium,F,3,2974,Yes
89,C,Ship,3,3,229,3,low,M,49,2339,Yes
90,F,Ship,4,1,186,4,medium,F,57,3880,Yes
91,D,Ship,5,3,174,6,high,F,41,1085,Yes
92,F,Ship,5,5,286,3,low,F,18,3163,Yes
93,A,Ship,4,4,175,2,medium,F,7,1188,Yes
94,B,Ship,3,3,219,3,medium,F,17,3387,Yes
95,C,Ship,4,1,213,4,high,F,35,2343,Yes
96,F,Ship,2,3,235,3,low,M,57,2034,Yes
97,D,Ship,3,3,149,2,medium,M,18,1225,Yes
98,F,Ship,4,1,271,2,medium,F,8,2401,Yes
99,A,Ship,3,5,144,4,medium,M,5,1104,Yes
100,B,Ship,4,2,145,2,medium,M,21,1617,Yes
101,C,Ship,5,3,143,2,medium,M,59,1837,Yes
102,F,Ship,5,5,227,4,low,M,53,2624,Yes
103,D,Ship,2,1,213,3,low,M,29,2732,Yes
104,F,Ship,5,1,144,4,low,M,37,1658,Yes
105,A,Ship,3,3,218,3,low,M,3,2255,Yes
106,B,Ship,4,2,144,3,medium,M,59,1588,Yes
107,C,Ship,3,1,238,3,low,M,17,2624,Yes
108,F,Ship,4,5,216,3,high,M,26,2053,Yes
109,D,Ship,4,5,238,3,high,F,55,3257,Yes
110,F,Ship,4,1,141,3,medium,M,47,1250,Yes
111,A,Road,3,1,158,2,low,M,2,1284,Yes
112,B,Road,4,2,239,3,low,F,65,3679,Yes
113,C,Road,4,3,175,2,low,M,25,1816,Yes
114,F,Road,3,2,263,3,low,M,41,2817,Yes
